iter,k,mse_est,mse_true
580,101,3401.6505408906337,3359.993760045572
581,141,3315.598098920428,3366.228253785217
582,191,3351.9399732404695,3342.262695519039
583,181,3301.2943109159464,3360.175664851503
584,151,3350.8505717461826,3346.998233739611
585,191,3424.905899459757,3347.3183735252846
586,141,3267.1737833112093,3361.295829481452
587,181,3382.9687798978193,3343.9676393079185
588,171,3382.885587495488,3332.0379976975523
589,101,3314.009968271611,3359.324599614023
590,191,3415.8328572229548,3337.293548200456
591,191,3313.6260069542045,3342.4053359226173
592,191,3369.8250284230458,3343.834047201096
593,191,3362.4144598221515,3341.1697713552926
594,141,3340.418068865692,3341.0410912849616
595,171,3312.456450083224,3347.8681313621887
596,191,3372.003947683068,3337.473379965042
597,191,3389.549493616249,3341.31066768418
598,191,3360.6361732876035,3346.6821874876555
599,161,3265.3107965132604,3338.678737261891
600,191,3134.104290295078,3359.4283037125774
601,141,3277.6282618207074,3345.9965632551384
602,161,3250.414700716609,3351.9470446277714
603,171,3374.939935837001,3347.089112793678
604,191,3400.109648230377,3336.6900424895953
605,191,3406.3089879608165,3333.1473402985284
606,191,3265.531064025659,3355.5226630260877
607,141,3378.042976203373,3348.0722903407177
608,141,3398.532596099562,3348.429277146589
609,131,3365.5451190859676,3343.6422065589236
610,191,3249.4396741420355,3348.6074184261442
611,161,3326.2173124187734,3349.5375475083615
612,181,3329.7787440382926,3352.095162418893
613,191,3305.041828252267,3342.19679728624
614,191,3419.752947317865,3335.8012586143745
615,181,3339.9696110543246,3360.8817236712753
616,171,3260.8918104273866,3355.9671055706117
617,191,3391.1881592313252,3331.2699710708225
618,191,3281.25993731829,3341.2064640573217
619,111,3390.5383043442357,3374.4874895152793
620,71,3513.454670687475,3379.2445918327476
621,161,3324.6443544509266,3342.681547769057
622,141,3329.129294019458,3354.373421625006
623,181,3201.2944701903507,3366.597832870383
624,181,3286.1783863823316,3343.6381131643425
625,191,3393.606424150069,3350.6128990747916
626,191,3353.196903369702,3335.8104825469086
627,191,3339.0552795917893,3344.116703939327
628,191,3401.656878895525,3340.186787530942
629,191,3377.869785663134,3342.5437334013322
630,181,3386.8457896608147,3338.409734855984
631,111,3371.702814941572,3350.9337228554673
632,191,3347.1880085918706,3339.869191228479
633,181,3341.756669886296,3337.8007898327733
634,181,3361.7614807317286,3341.542956891369
635,151,3271.742083306134,3354.8178680334413
636,191,3341.0451061910944,3333.095450394174
637,191,3287.53862112792,3346.2979363684026
638,141,3320.4996375765672,3345.9454639754526
639,161,3279.1703723898386,3363.5150925582534
640,191,3316.8828257519217,3337.1490073182913
641,171,3337.7322063670317,3348.697589447606
642,141,3285.1196034980367,3359.934041412484
643,191,3345.768573752761,3342.040205595668
644,171,3315.6707443552505,3333.771878536411
645,191,3318.8607058859293,3351.7744112542905
646,181,3356.744170665776,3334.406015081714
647,151,3355.281970060879,3349.845406563235
648,131,3385.3247422045783,3337.723715493337
649,131,3443.05133407507,3339.029417294861
650,191,3493.946999313323,3333.745775758545
651,181,3413.304448897801,3341.200571304961
652,121,3309.967217458022,3367.8349363767925
653,171,3365.9679179571185,3345.582210020579
654,161,3314.0800647424826,3365.023691863022
655,161,3329.9144200684323,3347.6258439401813
656,131,3320.898702041797,3348.9829546189494
657,171,3264.5396528341957,3365.580958041618
658,161,3386.6385445582487,3349.7259478058763
